date,account,category,amount,currency,converted amount,currency,description,test
01/09/2018,Cash,Initial balance 'Cash',233,QAR,233,QAR,,1
01/09/2018,Credit  card,Initial balance 'Credit  card',-5158,QAR,-5158,QAR,,2
01/09/2018,Bank Account,Initial balance 'Bank Account',760,QAR,760,QAR,,3
01/09/2018,Borrowed,Initial balance 'Borrowed',431,QAR,431,QAR,,4
01/09/2018,Bank Account,To 'Credit  card',-5158,QAR,-5158,QAR,Credit card Payment ,5
01/09/2018,Credit  card,From 'Bank Account',5158,QAR,5158,QAR,Credit card Payment ,6
01/09/2018,Bank Account,Salary,6663,QAR,6663,QAR,Salary,7
01/09/2018,Cash,Food,-7.5,QAR,-7.5,QAR,Milk,8
01/09/2018,Credit  card,Food,-242.35,QAR,-242.35,QAR,Safari ,9
04/09/2018,Bank Account,To 'Chitti Nazir',-1600,QAR,-1600,QAR,ATM Withdrawal by Nazeer,10
04/09/2018,Borrowed,To 'Chitti Nazir',-400,QAR,-400,QAR,,11
04/09/2018,Chitti Nazir,From 'Bank Account',1600,QAR,1600,QAR,ATM Withdrawal by Nazeer,12
04/09/2018,Chitti Nazir,From 'Borrowed',400,QAR,400,QAR,,13
06/09/2018,Cash,Food,-7.5,QAR,-7.5,QAR,Water,14
06/09/2018,Cash,House,-2.5,QAR,-2.5,QAR,Super Glue,15
07/09/2018,Credit  card,Food,-200.45,QAR,-200.45,QAR,,16
07/09/2018,Cash,Eating out,-33,QAR,-33,QAR,,17
07/09/2018,Credit  card,Toiletry,-189,QAR,-189,QAR,,18
07/09/2018,Credit  card,School,-3,QAR,-3,QAR,Eracer,19
07/09/2018,Chitti Nazir,Initial balance 'Chitti Nazir',10000,QAR,10000,QAR,,20
07/09/2018,Credit  card,Transport,-916,QAR,-916,QAR,Ticket Booked for Father and Mother ,21
07/09/2018,Credit  card,Work,-279,QAR,-279,QAR,Laptop Bag,22
07/09/2018,Credit  card,School,-21,QAR,-21,QAR,School items ,23
07/09/2018,Cash,Car,-15,QAR,-15,QAR,Puncture ,24
07/09/2018,Cash,Eating out,-3,QAR,-3,QAR,Popcorn ,25
07/09/2018,Credit  card,Mobile,-8,QAR,-8,QAR,App purchase ,26
08/09/2018,Cash,Internet Share ,200,QAR,200,QAR,Internet Share,27
08/09/2018,Cash,Charity,-50,QAR,-50,QAR,Nal kumar,28
08/09/2018,Credit  card,Communications,-500,QAR,-500,QAR,Internet Bill Pay,29
08/09/2018,Cash,Food,-7.5,QAR,-7.5,QAR,Milk,30
08/09/2018,Cash,Food,-2.5,QAR,-2.5,QAR,Snakes ,31
10/09/2018,Cash,Food,-7.5,QAR,-7.5,QAR,Milk,32
12/09/2018,Cash,Food,-8,QAR,-8,QAR,Water,33
12/09/2018,Credit  card,Food,-126.75,QAR,-126.75,QAR,Grocery Grand,34
14/09/2018,Cash,Food,-20,QAR,-20,QAR,Gas Cylinder ,35
14/09/2018,Credit  card,Gifts,-65,QAR,-65,QAR,Clothe for Firoz's Son,36
14/09/2018,Credit  card,House,-79,QAR,-79,QAR,Kettle 79,37
14/09/2018,Credit  card,School,-15,QAR,-15,QAR,Tiffen Box,38
14/09/2018,Credit  card,Mobile,-19,QAR,-19,QAR,Mobile Holder,39
14/09/2018,Credit  card,Food,-3.25,QAR,-3.25,QAR,Chocolate ,40
14/09/2018,Credit  card,Food,-98.3,QAR,-98.3,QAR,Grocery Grand,41
15/09/2018,Cash,To 'Borrowed',-10,QAR,-10,QAR,Sameer Borrowed ,42
15/09/2018,Borrowed,From 'Cash',10,QAR,10,QAR,Sameer Borrowed ,43
16/09/2018,Credit  card,Health,-30,QAR,-30,QAR,Sidra Consultation Fee,44
16/09/2018,Credit  card,Eating out,-49,QAR,-49,QAR,Food MRA,45
16/09/2018,Cash,Gifts,-2,QAR,-2,QAR,Tip,46
16/09/2018,Credit  card,Food,-19.7,QAR,-19.7,QAR,Milk and vegetables ,47
20/09/2018,Credit  card,Health,-18.5,QAR,-18.5,QAR,Medicine Sidra,48
20/09/2018,Cash,Food,-8,QAR,-8,QAR,Water,49
20/09/2018,Cash,Charity,-2,QAR,-2,QAR,Tip,50
21/09/2018,Cash,House,-50,QAR,-50,QAR,Kitchen Appliances ,51
