ID,Date,ExpenceCatogery,ExpenceDescription,Amount,Account
1,2018-09-01,Initial balance Credit  card,,5158,Credit  card
2,2018-09-01,To 'Credit  card',Credit card Payment ,5158,Bank Account
3,2018-09-01,Food,Milk,7.5,Cash
4,2018-09-01,Food,Safari ,242.35,Credit  card
5,2018-09-04,To 'Chitti Nazir',ATM Withdrawal by Nazeer,1600,Bank Account
6,2018-09-04,To 'Chitti Nazir',,400,Borrowed
7,2018-09-06,Food,Water,7.5,Cash
8,2018-09-06,House,Super Glue,2.5,Cash
9,2018-09-07,Food,,200.45,Credit  card
10,2018-09-07,Eating out,,33,Cash
11,2018-09-07,Toiletry,,189,Credit  card
12,2018-09-07,School,Eracer,3,Credit  card
13,2018-09-07,Transport,Ticket Booked for Father and Mother ,916,Credit  card
14,2018-09-07,Work,Laptop Bag,279,Credit  card
15,2018-09-07,School,School items ,21,Credit  card
16,2018-09-07,Car,Puncture ,15,Cash
17,2018-09-07,Eating out,Popcorn ,3,Cash
18,2018-09-07,Mobile,App purchase ,8,Credit  card
19,2018-09-08,Charity,Nal kumar,50,Cash
20,2018-09-08,Communications,Internet Bill Pay,500,Credit  card
21,2018-09-08,Food,Milk,7.5,Cash
22,2018-09-08,Food,Snakes ,2.5,Cash
23,2018-09-10,Food,Milk,7.5,Cash
24,2018-09-12,Food,Water,8,Cash
25,2018-09-12,Food,Grocery Grand,126.75,Credit  card
26,2018-09-14,Food,Gas Cylinder ,20,Cash
27,2018-09-14,Gifts,Clothe for Firoz's Son,65,Credit  card
28,2018-09-14,House,Kettle 79,79,Credit  card
29,2018-09-14,School,Tiffen Box,15,Credit  card
30,2018-09-14,Mobile,Mobile Holder,19,Credit  card
31,2018-09-14,Food,Chocolate ,3.25,Credit  card
32,2018-09-14,Food,Grocery Grand,98.3,Credit  card
33,2018-09-15,To 'Borrowed',Sameer Borrowed ,10,Cash
34,2018-09-16,Health,Sidra Consultation Fee,30,Credit  card
35,2018-09-16,Eating out,Food MRA,49,Credit  card
36,2018-09-16,Gifts,Tip,2,Cash
37,2018-09-16,Food,Milk and vegetables ,19.7,Credit  card
38,2018-09-20,Health,Medicine Sidra,18.5,Credit  card
39,2018-09-20,Food,Water,8,Cash
40,2018-09-20,Charity,Tip,2,Cash
41,2018-09-21,House,Kitchen Appliances ,50,Cash
42,2018-09-21,Food,Grocery Ezdan,13.5,Cash
43,2018-09-22,House,Tools,33,Credit  card
44,2018-09-22,Food,Grocery Lulu,234.7,Credit  card
45,2018-09-22,Transport,Ticket Booked for Father and Mother return,1430,Credit  card
46,2018-09-22,Toiletry,Hair cut ,30,Cash
47,2018-09-25,Charity,Donation CMDRF - Noble,100,Cash
48,2018-09-25,Food,Milk and Snaks,9.5,Cash
49,2018-09-25,Charity,Tips Car Wash,10,Cash
50,2018-09-25,Food,Grocery Grand,47.25,Credit  card
51,2018-09-27,Food,Water,8,Cash
52,2018-09-27,Charity,Tip,1,Cash
53,2018-09-27,Food,Milk ,7.5,Cash
54,2018-09-27,To 'Credit  card',Credit card Payment ,3000,Bank Account
55,2018-09-28,Clothes,Clothes,129.5,Credit  card
56,2018-09-28,Food,Grocery Safari,329.2,Credit  card
57,2018-09-29,Eating out,Ice cream City centre ,26,Credit  card
58,2018-09-29,Food,Water,8,Cash
59,2018-09-30,Other,Other and Correction ,9.5,Cash
60,2018-10-01,To 'Chitti Nazir',,2000,Bank Account
61,2018-10-01,Food,Milk ,15,Cash
62,2018-10-02,Food,Fruits,12,Cash
63,2018-10-02,Food,Vegetables,7,Cash
64,2018-10-02,To 'Chitti Jamshad',,500,Bank Account
65,2018-10-03,School,School Fees ,1550,Credit  card
66,2018-10-03,Charity,To Liju,500,Bank Account
67,2018-10-04,Eating out,KFC,57,Credit  card
68,2018-10-04,Food,Water,8,Cash
69,2018-10-06,Mobile,Mobile recharge ,10,Credit  card
70,2018-10-06,House,Pillow and shoes,65,Credit  card
71,2018-10-06,Food,Grocery Lulu,367.7,Credit  card
72,2018-10-07,Health,Hospital Consultation Fee,30,Credit  card
73,2018-10-07,Health,Medicine Focus,36,Credit  card
74,2018-10-07,Food,Water,8,Cash
75,2018-10-08,Food,Tea Powder,19,Cash
76,2018-10-08,To 'Cash',,100,Bank Account
77,2018-10-09,School,Taxi,500,Bank Account
78,2018-10-10,Food,Water,8,Cash
79,2018-10-11,Food,Grocery Safari,219,Credit  card
80,2018-10-12,Charity,Tip ,2,Cash
81,2018-10-12,Eating out,Tea and Snacks,6,Cash
82,2018-10-13,Food,Gas Cylinder ,20,Cash
83,2018-10-13,Health,Hospital Fee,100,Credit  card
84,2018-10-14,Food,Water,8,Cash
85,2018-10-17,Food,Water,8,Cash
86,2018-10-17,House,Amazon Prime ,3.65,Credit  card
87,2018-10-18,Food,Grocery Grand,147.15,Credit  card
88,2018-10-18,Food,Milk ,8,Cash
89,2018-10-20,Eating out,Tea Safari,8,Cash
90,2018-10-20,Food,Water,7,Cash
91,2018-10-20,Food,Juice,6,Cash
92,2018-10-20,Eating out,Ice cream  McDonald's ,5,Cash
93,2018-10-20,Food,Grocery Safari,221.5,Credit  card
94,2018-10-20,Other,Cricket Balls,17,Credit  card
95,2018-10-23,Food,Water,8,Cash
96,2018-10-24,Food,Grocery Grand,49.5,Credit  card
97,2018-10-24,Food,Juice ,1.5,Cash
98,2018-10-25,Eating out,Food Rotana,69,Credit  card
99,2018-10-25,Charity,Tip Rotana,5,Cash
100,2018-10-25,To 'Credit  card',,150,Bank Account
101,2018-10-26,To 'Credit  card',,100,Bank Account
102,2018-10-26,Food,Orange ,8,Cash
103,2018-10-26,Food,Grocery,4,Cash
104,2018-10-26,Eating out,Tea,10,Cash
105,2018-10-26,Other,Purchase Home town,41,Credit  card
106,2018-10-26,Food,Grocery Safari,118.45,Credit  card
107,2018-10-27,Food,Fish ,58,Cash
108,2018-10-30,To 'Credit  card',,4300,Bank Account
109,2018-10-30,Food,Grocery Grand,143.2,Credit  card
110,2018-10-30,House,Home item's ,61.5,Credit  card
111,2018-10-31,Health,Medicine Sidra,21.24,Credit  card
112,2018-11-01,Communications,Internet Bill Pay,500,Credit  card
113,2018-11-01,Eating out,Safari Food  Court ,57,Cash
114,2018-11-01,To 'Cash',,700,Bank Account
115,2018-11-01,House,Safari Clothes ,126,Credit  card
116,2018-11-01,Food,Grocery Safari,227.2,Credit  card
117,2018-11-01,House,,10,Cash
118,2018-11-02,Entertainment,Parking,4,Cash
119,2018-11-04,Eating out,Snacks,10,Cash
120,2018-11-04,Entertainment,Entry Ticket ,20,Cash
121,2018-11-04,Eating out,Ice cream ,19,Cash
122,2018-11-04,Food,Tomato ,2.5,Cash
123,2018-11-04,School,Tie ,15,Cash
124,2018-11-04,Other,Repayment to Jamsheed ,310,Bank Account
125,2018-11-05,Clothes,Clothes Ansar galary,332.75,Credit  card
126,2018-11-05,House,Home item's ,93.75,Credit  card
127,2018-11-05,Food,Grocery Ansar Galary,109.7,Credit  card
128,2018-11-05,Gifts,Purchase Home town,147.25,Credit  card
129,2018-11-06,Car,Car Wash ,15,Cash
130,2018-11-07,Mobile,Mobile recharge ,10,Credit  card
131,2018-11-08,Food,Grocery Grand,157.75,Credit  card
132,2018-11-08,Food,Grocery Grand,6.25,Credit  card
133,2018-11-08,House,Tap,10,Cash
134,2018-11-09,Eating out,Nobile Cafeteria,18,Cash
135,2018-11-09,Food,Gas Cylinder ,20,Cash
136,2018-11-10,Eating out,Popcorn ,3,Cash
